"idBranch","name","monthlyCost","address","idCity","idManager","lastUpdate"
1,"Asunción Dairy",8553380.00,20,2084,,"2021-12-06 09:47:37.0000000"
2,"Rongcheng Milk Co",8715286.00,171,30002,,"2021-12-06 19:54:02.0000000"
3,"Matola Co",9690497.00,112,21952,,"2021-12-07 00:01:07.0000000"
4,"Jiaxing Milk Co",6311361.00,26,16562,,"2021-12-07 01:15:49.0000000"
5,"Nur-Sultan Co",3159172.00,0,25326,,"2021-12-07 02:46:01.0000000"
6,"Juárez Dairy",7021845.00,101,16757,,"2021-12-07 05:45:04.0000000"
7,"Rangoon Milk Co",2659104.00,172,29159,,"2021-12-07 11:56:34.0000000"
8,"Turpis Egestas Dairy",6036432.00,160,4053,,"2021-12-07 18:00:16.0000000"
9,"The Hague Dairy",3978325.00,77,36095,,"2021-12-07 23:26:33.0000000"
10,"Bekasi Co",5971445.00,50,3558,,"2021-12-08 14:57:43.0000000"
11,"Yuncheng Farm",7556347.00,182,40478,,"2021-12-09 13:55:14.0000000"
12,"Ningde Dairy",9074413.00,193,24724,,"2021-12-10 12:31:26.0000000"
13,"Salt Lake City Co",6243111.00,14,30903,,"2021-12-11 02:08:38.0000000"
14,"Nascetur Ridiculus Mus Farm",8047240.00,118,17106,,"2021-12-11 20:14:44.0000000"
15,"Virginia Beach Milk Co",9322319.00,194,38512,,"2021-12-12 12:11:14.0000000"
16,"Nur-Sultan Co",9951173.00,146,25326,,"2021-12-13 11:18:25.0000000"
17,"Fusce Mi Lorem Farm",7220427.00,43,16629,,"2021-12-13 17:31:06.0000000"
18,"Shenyang Milk Co",6420893.00,111,33238,,"2021-12-13 23:42:14.0000000"
19,"Adelaide Milk Co",7111401.00,33,236,,"2021-12-14 19:43:52.0000000"
20,"El Kelaa des Srarhna Milk Co",7715241.00,76,10753,,"2021-12-15 14:54:14.0000000"
21,"Birmingham Dairy",6077835.00,80,4246,,"2021-12-16 13:10:27.0000000"
22,"Algiers Milk Co",9275606.00,131,878,,"2021-12-17 11:17:50.0000000"
23,"Eşfahān Dairy",6748733.00,101,11167,,"2021-12-17 21:27:01.0000000"
24,"Manaus Co",9095160.00,21,21303,,"2021-12-18 06:43:33.0000000"
25,"Chelyabinsk Co",5583989.00,146,7436,,"2021-12-19 00:16:53.0000000"
26,"Mandalay Co",9390257.00,195,21325,,"2021-12-19 08:21:46.0000000"
27,"Egestas A Farm",8137209.00,29,7559,,"2021-12-19 14:23:01.0000000"
28,"Ut Sagittis Lobortis Dairy",6300239.00,18,36170,,"2021-12-20 05:37:03.0000000"
29,"Carrys Candles Dairy",8417863.00,48,16603,,"2021-12-21 00:43:18.0000000"
30,"Volutpat Farm",6106880.00,200,16453,,"2021-12-21 01:49:43.0000000"
31,"Kananga Farm",6534050.00,74,17061,,"2021-12-22 01:32:07.0000000"
32,"McMahon and Tate Farm",9240628.00,42,26270,,"2021-12-22 09:28:24.0000000"
33,"Deyang Co",2876722.00,143,9603,,"2021-12-22 16:54:09.0000000"
34,"Al Başrah Co",9044114.00,40,576,,"2021-12-23 06:41:46.0000000"
35,"Phoenix Farm",8203457.00,129,27343,,"2021-12-23 16:52:02.0000000"
36,"Nanchong Dairy",3169237.00,137,24039,,"2021-12-24 08:38:18.0000000"
37,"Multan Farm",7733485.00,10,23698,,"2021-12-24 22:07:42.0000000"
38,"Nec Orci Dairy",1200682.00,44,9170,,"2021-12-25 04:20:27.0000000"
39,"Erat Dairy",2816534.00,60,130,,"2021-12-25 14:37:54.0000000"
40,"Mauris Blandit Mattis Farm",8962726.00,185,16596,,"2021-12-26 14:28:48.0000000"
41,"La Paz Milk Co",9835531.00,44,18729,,"2021-12-27 04:37:29.0000000"
42,"In Farm",5292016.00,67,12496,,"2021-12-27 08:57:05.0000000"
43,"Conakry Dairy",8029561.00,32,8360,,"2021-12-28 00:31:51.0000000"
44,"Haicheng Dairy",7053913.00,122,13998,,"2021-12-28 23:09:48.0000000"
45,"Nezahualcóyotl Milk Co",8088050.00,29,24618,,"2021-12-29 13:02:09.0000000"
46,"Bekasi Dairy",5757216.00,40,3558,,"2021-12-29 20:24:20.0000000"
47,"Vel Mauris Integer Dairy",9318666.00,100,3095,,"2021-12-30 20:23:25.0000000"
48,"Kigali Milk Co",7390331.00,166,17649,,"2021-12-31 10:40:27.0000000"
49,"Pudong Dairy",6256735.00,97,28546,,"2021-12-31 20:42:28.0000000"
50,"Kazan Dairy",7161530.00,4,17350,,"2022-01-01 14:22:43.0000000"
